"Submission Date","0 - Nulis","1 - Vienas","2 - Du","3 - Trys","4 - Keturi","5 - Penki","6 - Šeši","7 - Septyni","8 - Aštuoni","9 - Devyni",Vardas
"Sep 14, 2023",https://eu.jotform.com/widget-uploads/voiceRecorder/232493385305054/6502eab41cc30_16946899726502eab421e00.wav,https://eu.jotform.com/widget-uploads/voiceRecorder/232493385305054/6502eabdcf634_16946899816502eabdd4652.wav,https://eu.jotform.com/widget-uploads/voiceRecorder/232493385305054/6502eac4296e5_16946899886502eac42f8b6.wav,https://eu.jotform.com/widget-uploads/voiceRecorder/232493385305054/6502eacb8801f_16946899956502eacb8cea8.wav,https://eu.jotform.com/widget-uploads/voiceRecorder/232493385305054/6502ead2691bf_16946900026502ead26e3d4.wav,https://eu.jotform.com/widget-uploads/voiceRecorder/232493385305054/6502ead8f0697_16946900086502ead9019b3.wav,https://eu.jotform.com/widget-uploads/voiceRecorder/232493385305054/6502eadf34698_16946900156502eadf39938.wav,https://eu.jotform.com/widget-uploads/voiceRecorder/232493385305054/6502eae6c344a_16946900226502eae6c8b1d.wav,https://eu.jotform.com/widget-uploads/voiceRecorder/232493385305054/6502eaeda22e8_16946900296502eaeda7952.wav,https://eu.jotform.com/widget-uploads/voiceRecorder/232493385305054/6502eaf4373b6_16946900366502eaf43bea2.wav,Aiste_1
"Sep 14, 2023",https://eu.jotform.com/widget-uploads/voiceRecorder/232493385305054/6502ea1445a0a_16946898126502ea144ac93.wav,https://eu.jotform.com/widget-uploads/voiceRecorder/232493385305054/6502ea258effe_16946898296502ea25943ec.wav,https://eu.jotform.com/widget-uploads/voiceRecorder/232493385305054/6502ea2f1c082_16946898396502ea2f21316.wav,https://eu.jotform.com/widget-uploads/voiceRecorder/232493385305054/6502ea3731bfe_16946898476502ea3737fc6.wav,https://eu.jotform.com/widget-uploads/voiceRecorder/232493385305054/6502ea3f430d0_16946898556502ea3f47d1e.wav,https://eu.jotform.com/widget-uploads/voiceRecorder/232493385305054/6502ea47d6278_16946898636502ea47db0f7.wav,https://eu.jotform.com/widget-uploads/voiceRecorder/232493385305054/6502ea505f0a1_16946898726502ea506461b.wav,https://eu.jotform.com/widget-uploads/voiceRecorder/232493385305054/6502ea5873037_16946898806502ea5877e72.wav,https://eu.jotform.com/widget-uploads/voiceRecorder/232493385305054/6502ea60d407e_16946898886502ea60d942c.wav,https://eu.jotform.com/widget-uploads/voiceRecorder/232493385305054/6502ea68843c4_16946898966502ea68893ef.wav,Aiste_2
"Sep 14, 2023",https://eu.jotform.com/widget-uploads/voiceRecorder/232493385305054/6502e67962d56_16946888896502e67968033.wav,https://eu.jotform.com/widget-uploads/voiceRecorder/232493385305054/6502e67cbf17b_16946888926502e67cc4492.wav,https://eu.jotform.com/widget-uploads/voiceRecorder/232493385305054/6502e67f6af94_16946888956502e67f6fc96.wav,https://eu.jotform.com/widget-uploads/voiceRecorder/232493385305054/6502e680c7dd1_16946888966502e680cc6ff.wav,https://eu.jotform.com/widget-uploads/voiceRecorder/232493385305054/6502e683deb1f_16946888996502e683e49f6.wav,https://eu.jotform.com/widget-uploads/voiceRecorder/232493385305054/6502e686f1c1f_16946889026502e687028bc.wav,https://eu.jotform.com/widget-uploads/voiceRecorder/232493385305054/6502e68a8fe0b_16946889066502e68a95622.wav,https://eu.jotform.com/widget-uploads/voiceRecorder/232493385305054/6502e68e28ac9_16946889106502e68e2df6e.wav,https://eu.jotform.com/widget-uploads/voiceRecorder/232493385305054/6502e69207367_16946889146502e6920c0eb.wav,https://eu.jotform.com/widget-uploads/voiceRecorder/232493385305054/6502e695b70be_16946889176502e695bc0e1.wav,Ziede_1
"Sep 14, 2023",https://eu.jotform.com/widget-uploads/voiceRecorder/232493385305054/6502e665b10ca_16946888696502e665b60f5.wav,https://eu.jotform.com/widget-uploads/voiceRecorder/232493385305054/6502e66938e87_16946888736502e66940556.wav,https://eu.jotform.com/widget-uploads/voiceRecorder/232493385305054/6502e66c00dc0_16946888766502e66c0612f.wav,https://eu.jotform.com/widget-uploads/voiceRecorder/232493385305054/6502e66eb7007_16946888786502e66ebc2a8.wav,https://eu.jotform.com/widget-uploads/voiceRecorder/232493385305054/6502e671e4762_16946888816502e671e9973.wav,https://eu.jotform.com/widget-uploads/voiceRecorder/232493385305054/6502e67581b40_16946888856502e67586e9b.wav,https://eu.jotform.com/widget-uploads/voiceRecorder/232493385305054/6502e678eb826_16946888886502e678f110f.wav,https://eu.jotform.com/widget-uploads/voiceRecorder/232493385305054/6502e67cc9071_16946888926502e67ccdb6b.wav,https://eu.jotform.com/widget-uploads/voiceRecorder/232493385305054/6502e68053404_16946888966502e680580bc.wav,https://eu.jotform.com/widget-uploads/voiceRecorder/232493385305054/6502e684874f5_16946889006502e6848d288.wav,Paulius_1
"Sep 14, 2023",https://eu.jotform.com/widget-uploads/voiceRecorder/232493385305054/6502e64c1350e_16946888446502e64c185f6.wav,https://eu.jotform.com/widget-uploads/voiceRecorder/232493385305054/6502e6502f7ce_16946888486502e65034958.wav,https://eu.jotform.com/widget-uploads/voiceRecorder/232493385305054/6502e653a16ad_16946888516502e653a6a60.wav,https://eu.jotform.com/widget-uploads/voiceRecorder/232493385305054/6502e656921c7_16946888546502e65697838.wav,https://eu.jotform.com/widget-uploads/voiceRecorder/232493385305054/6502e659bf144_16946888576502e659c5946.wav,https://eu.jotform.com/widget-uploads/voiceRecorder/232493385305054/6502e65d4ef35_16946888616502e65d54118.wav,https://eu.jotform.com/widget-uploads/voiceRecorder/232493385305054/6502e6627e577_16946888666502e66283df5.wav,https://eu.jotform.com/widget-uploads/voiceRecorder/232493385305054/6502e6667bfa3_16946888706502e66681688.wav,https://eu.jotform.com/widget-uploads/voiceRecorder/232493385305054/6502e66bc223e_16946888756502e66bc806f.wav,https://eu.jotform.com/widget-uploads/voiceRecorder/232493385305054/6502e66fdb022_16946888796502e66fe1163.wav,Ziede_2
"Sep 14, 2023",https://eu.jotform.com/widget-uploads/voiceRecorder/232493385305054/6502e46873137_16946883606502e46878c1f.wav,https://eu.jotform.com/widget-uploads/voiceRecorder/232493385305054/6502e47fc2017_16946883836502e47fc6e57.wav,https://eu.jotform.com/widget-uploads/voiceRecorder/232493385305054/6502e48709149_16946883916502e4870fbc9.wav,https://eu.jotform.com/widget-uploads/voiceRecorder/232493385305054/6502e490c2ba4_16946884006502e490c7b9a.wav,https://eu.jotform.com/widget-uploads/voiceRecorder/232493385305054/6502e49b6f6c7_16946884116502e49b75678.wav,https://eu.jotform.com/widget-uploads/voiceRecorder/232493385305054/6502e4a450adf_16946884206502e4a4560ed.wav,https://eu.jotform.com/widget-uploads/voiceRecorder/232493385305054/6502e4ac65ad7_16946884286502e4ac6ad43.wav,https://eu.jotform.com/widget-uploads/voiceRecorder/232493385305054/6502e4b5a2f5a_16946884376502e4b5a8026.wav,https://eu.jotform.com/widget-uploads/voiceRecorder/232493385305054/6502e4bf157dc_16946884476502e4bf1b66c.wav,https://eu.jotform.com/widget-uploads/voiceRecorder/232493385305054/6502e4c708de8_16946884556502e4c70dcb4.wav,Dominyka_1
"Sep 14, 2023",https://eu.jotform.com/widget-uploads/voiceRecorder/232493385305054/6502e3f10ce04_16946882416502e3f112533.wav,https://eu.jotform.com/widget-uploads/voiceRecorder/232493385305054/6502e3ff2daf5_16946882556502e3ff3368b.wav,https://eu.jotform.com/widget-uploads/voiceRecorder/232493385305054/6502e405ce2c4_16946882616502e405d36ae.wav,https://eu.jotform.com/widget-uploads/voiceRecorder/232493385305054/6502e412b6a37_16946882746502e412bbcb5.wav,https://eu.jotform.com/widget-uploads/voiceRecorder/232493385305054/6502e42618750_16946882946502e4261d8bf.wav,https://eu.jotform.com/widget-uploads/voiceRecorder/232493385305054/6502e43085514_16946883046502e4308a21f.wav,https://eu.jotform.com/widget-uploads/voiceRecorder/232493385305054/6502e43885c05_16946883126502e4388acc6.wav,https://eu.jotform.com/widget-uploads/voiceRecorder/232493385305054/6502e4401b470_16946883206502e440210b7.wav,https://eu.jotform.com/widget-uploads/voiceRecorder/232493385305054/6502e4499ac7e_16946883296502e4499f894.wav,https://eu.jotform.com/widget-uploads/voiceRecorder/232493385305054/6502e45091472_16946883366502e4509720e.wav,Dominyka_2
"Sep 14, 2023",https://eu.jotform.com/widget-uploads/voiceRecorder/232493385305054/6502e3adef1b1_16946881736502e3adf41f7.wav,https://eu.jotform.com/widget-uploads/voiceRecorder/232493385305054/6502e3b006cba_16946881766502e3b00d7b8.wav,https://eu.jotform.com/widget-uploads/voiceRecorder/232493385305054/6502e3b21e893_16946881786502e3b22500a.wav,https://eu.jotform.com/widget-uploads/voiceRecorder/232493385305054/6502e3b44ae72_16946881806502e3b44fb21.wav,https://eu.jotform.com/widget-uploads/voiceRecorder/232493385305054/6502e3b7104af_16946881836502e3b715288.wav,https://eu.jotform.com/widget-uploads/voiceRecorder/232493385305054/6502e3b8eef40_16946881846502e3b900660.wav,https://eu.jotform.com/widget-uploads/voiceRecorder/232493385305054/6502e3bb6796d_16946881876502e3bb6cc81.wav,https://eu.jotform.com/widget-uploads/voiceRecorder/232493385305054/6502e3bd7feba_16946881896502e3bd85132.wav,https://eu.jotform.com/widget-uploads/voiceRecorder/232493385305054/6502e3bf9beff_16946881916502e3bfa1a3d.wav,https://eu.jotform.com/widget-uploads/voiceRecorder/232493385305054/6502e3c213a54_16946881946502e3c2199b0.wav,VytasM_2
"Sep 14, 2023",https://eu.jotform.com/widget-uploads/voiceRecorder/232493385305054/6502e36a66ac1_16946881066502e36a6bcca.wav,https://eu.jotform.com/widget-uploads/voiceRecorder/232493385305054/6502e370eee7c_16946881126502e371019b7.wav,https://eu.jotform.com/widget-uploads/voiceRecorder/232493385305054/6502e37492722_16946881166502e37497c05.wav,https://eu.jotform.com/widget-uploads/voiceRecorder/232493385305054/6502e377c34ab_16946881196502e377c8ee9.wav,https://eu.jotform.com/widget-uploads/voiceRecorder/232493385305054/6502e37b1d35f_16946881236502e37b22504.wav,https://eu.jotform.com/widget-uploads/voiceRecorder/232493385305054/6502e37e024db_16946881266502e37e08805.wav,https://eu.jotform.com/widget-uploads/voiceRecorder/232493385305054/6502e3809529c_16946881286502e3809a41d.wav,https://eu.jotform.com/widget-uploads/voiceRecorder/232493385305054/6502e383e304d_16946881316502e383e926c.wav,https://eu.jotform.com/widget-uploads/voiceRecorder/232493385305054/6502e386d0351_16946881346502e386d5859.wav,https://eu.jotform.com/widget-uploads/voiceRecorder/232493385305054/6502e3899509c_16946881376502e3899a38b.wav,VytasM_1
"Sep 14, 2023",https://eu.jotform.com/widget-uploads/voiceRecorder/232493385305054/6502e30e70484_16946880146502e30e76c6c.wav,https://eu.jotform.com/widget-uploads/voiceRecorder/232493385305054/6502e3118bedc_16946880176502e31192364.wav,https://eu.jotform.com/widget-uploads/voiceRecorder/232493385305054/6502e314812e2_16946880206502e3148723d.wav,https://eu.jotform.com/widget-uploads/voiceRecorder/232493385305054/6502e317cb626_16946880236502e317d173a.wav,https://eu.jotform.com/widget-uploads/voiceRecorder/232493385305054/6502e31b65526_16946880276502e31b6a2aa.wav,https://eu.jotform.com/widget-uploads/voiceRecorder/232493385305054/6502e31e64f22_16946880306502e31e6ab9f.wav,https://eu.jotform.com/widget-uploads/voiceRecorder/232493385305054/6502e32109e9e_16946880336502e3210ff00.wav,https://eu.jotform.com/widget-uploads/voiceRecorder/232493385305054/6502e324210d8_16946880366502e3242728a.wav,https://eu.jotform.com/widget-uploads/voiceRecorder/232493385305054/6502e326d9006_16946880386502e326dded7.wav,https://eu.jotform.com/widget-uploads/voiceRecorder/232493385305054/6502e32983aac_16946880416502e32988c38.wav,Robertas_1
